Wind_speed[m/s] Mech.Power[kW] Thrust[kN] CP[-] CT[-]
4.0 280.2 225.9 0.286 0.923
5.0 799.1 351.5 0.418 0.919
6.0 1532.7 498.1 0.464 0.904
7.0 2506.1 643.4 0.478 0.858
8.0 3730.7 797.3 0.476 0.814
9.0 5311.8 1009.1 0.476 0.814
10.0 7286.5 1245.8 0.476 0.814
11.0 9698.3 1507.4 0.476 0.814
12.0 10639.1 1270.8 0.402 0.577
13.0 10648.5 1082.0 0.317 0.419
14.0 10639.3 967.9 0.253 0.323
15.0 10683.7 890.8 0.207 0.259
16.0 10642.0 824.8 0.170 0.211
17.0 10640.0 774.0 0.142 0.175
18.0 10639.9 732.5 0.119 0.148
19.0 10652.8 698.4 0.102 0.126
20.0 10646.2 668.1 0.087 0.109
21.0 10644.0 642.1 0.075 0.095
22.0 10641.2 619.5 0.065 0.084
23.0 10639.5 599.8 0.057 0.074
24.0 10643.6 582.7 0.050 0.066
25.0 10635.7 567.2 0.044 0.059
